[[01:34:02.750]] [LOG]    Put Block Batch, ops/sec, ms/op, runs, errors
[[01:41:00.237]] [LOG]    RBC 300000 500, 0.34, 2908.646, 6,  0.93%, 25.7795
[[01:41:37.068]] [LOG]    ETH 300000 500, 0.14, 7352.503, 5,  6.21%, 367.9876
[[01:41:50.380]] [LOG]    --- 300000 1000, 0.61, 1650.946, 8,  0.47%, 9.1899
[[01:42:07.128]] [LOG]    RBC 300000 1000, 0.36, 2777.833, 6,  7.34%, 194.2697
[[01:42:43.738]] [LOG]    ETH 300000 1000, 0.14, 7307.973, 5,  5.32%, 313.0019
[[01:42:56.864]] [LOG]    --- 400000 100, 0.54, 1861.846, 7,  0.70%, 14.0030
[[01:43:18.901]] [LOG]    RBC 400000 100, 0.27, 3659.084, 6,  2.22%, 77.2880
[[01:44:01.250]] [LOG]    ETH 400000 100, 0.12, 8454.504, 5,  3.91%, 266.3319
[[01:44:14.495]] [LOG]    --- 400000 500, 0.53, 1878.810, 7,  0.49%, 9.9221
[[01:44:34.558]] [LOG]    RBC 400000 500, 0.30, 3330.577, 6,  3.30%, 104.8290
[[01:45:16.551]] [LOG]    ETH 400000 500, 0.12, 8384.874, 5,  7.97%, 538.3231
[[01:45:30.605]] [LOG]    --- 400000 1000, 0.50, 1994.426, 7,  9.24%, 199.2288
[[01:45:50.016]] [LOG]    RBC 400000 1000, 0.31, 3221.570, 6,  6.42%, 196.9268
[[01:46:33.017]] [LOG]    ETH 400000 1000, 0.12, 8586.460, 5,  7.98%, 551.6367
[[01:46:49.889]] [LOG]    --- 500000 100, 0.42, 2397.063, 7,  0.34%, 8.9209
[[01:47:18.192]] [LOG]    RBC 500000 100, 0.21, 4703.788, 6,  2.00%, 89.6973
[[01:48:14.264]] [LOG]    ETH 500000 100, 0.09, 11199.783, 5,  7.38%, 665.9106
[[01:48:31.441]] [LOG]    --- 500000 500, 0.41, 2440.018, 7,  0.36%, 9.5936
[[01:48:58.401]] [LOG]    RBC 500000 500, 0.22, 4478.833, 6,  6.67%, 284.6749
[[01:49:56.512]] [LOG]    ETH 500000 500, 0.09, 11607.004, 5,  10.78%, 1008.3070
[[01:50:13.978]] [LOG]    --- 500000 1000, 0.40, 2481.710, 7,  0.20%, 5.4913
[[01:50:39.989]] [LOG]    RBC 500000 1000, 0.23, 4320.073, 6,  8.00%, 329.4076
[[01:51:38.172]] [LOG]    ETH 500000 1000, 0.09, 11622.329, 5,  12.00%, 1123.0644
[[01:51:57.295]] [LOG]    --- 600000 100, 0.32, 3173.026, 6,  0.69%, 20.7620
[[01:52:28.092]] [LOG]    RBC 600000 100, 0.16, 6144.281, 5,  8.14%, 402.9134
[[01:53:39.428]] [LOG]    ETH 600000 100, 0.07, 14251.952, 5,  9.97%, 1145.0799
[[01:53:58.950]] [LOG]    --- 600000 500, 0.31, 3240.496, 6,  0.56%, 17.2986
[[01:54:27.886]] [LOG]    RBC 600000 500, 0.17, 5773.609, 5,  10.18%, 473.2943
[[01:55:41.317]] [LOG]    ETH 600000 500, 0.07, 14672.150, 5,  11.99%, 1416.6420
[[01:56:01.911]] [LOG]    --- 600000 1000, 0.29, 3419.196, 6,  10.23%, 333.3366
[[01:56:29.937]] [LOG]    RBC 600000 1000, 0.18, 5591.543, 5,  10.44%, 470.2314
[[01:57:43.846]] [LOG]    ETH 600000 1000, 0.07, 14767.408, 5,  13.67%, 1625.8093
[[01:58:11.499]] [LOG]    --- 700000 100, 0.22, 4594.649, 6,  1.05%, 45.8048
[[01:58:52.548]] [LOG]    RBC 700000 100, 0.12, 8194.212, 5,  2.65%, 174.8748
[[02:00:23.523]] [LOG]    ETH 700000 100, 0.06, 18180.484, 5,  11.71%, 1714.9702
[[02:00:51.718]] [LOG]    --- 700000 500, 0.21, 4685.804, 6,  1.21%, 53.9403
[[02:01:29.944]] [LOG]    RBC 700000 500, 0.13, 7629.580, 5,  4.56%, 280.0127
[[02:03:00.332]] [LOG]    ETH 700000 500, 0.06, 18063.367, 5,  9.87%, 1435.6439
[[02:03:29.152]] [LOG]    --- 700000 1000, 0.21, 4789.784, 6,  0.70%, 31.7977
[[02:04:07.186]] [LOG]    RBC 700000 1000, 0.13, 7592.155, 5,  3.74%, 228.7115
[[02:05:40.484]] [LOG]    ETH 700000 1000, 0.05, 18645.645, 5,  12.71%, 1908.8257
[[02:06:16.047]] [LOG]    --- 800000 100, 0.14, 7099.336, 5,  8.20%, 469.1702
[[02:07:11.345]] [LOG]    RBC 800000 100, 0.09, 11044.411, 5,  6.75%, 600.7879
[[02:09:06.368]] [LOG]    ETH 800000 100, 0.04, 22990.051, 5,  14.67%, 2716.0586
[[02:09:41.445]] [LOG]    --- 800000 500, 0.14, 7001.931, 5,  1.20%, 67.4878
[[02:10:34.824]] [LOG]    RBC 800000 500, 0.09, 10659.729, 5,  3.33%, 285.7788
[[02:12:30.816]] [LOG]    ETH 800000 500, 0.04, 23183.963, 5,  12.14%, 2267.2424
[[02:13:08.689]] [LOG]    --- 800000 1000, 0.13, 7560.844, 5,  11.23%, 684.0268
[[02:14:00.596]] [LOG]    RBC 800000 1000, 0.10, 10366.750, 5,  9.31%, 777.0511
[[02:16:01.340]] [LOG]    ETH 800000 1000, 0.04, 24134.536, 5,  15.11%, 2937.6214
[[02:16:46.459]] [LOG]    --- 900000 100, 0.11, 9009.935, 5,  8.43%, 611.5738
[[02:17:56.860]] [LOG]    RBC 900000 100, 0.07, 14065.964, 5,  3.57%, 404.6048
[[02:20:27.607]] [LOG]    ETH 900000 100, 0.03, 30134.437, 5,  15.89%, 3856.4526
[[02:21:14.017]] [LOG]    --- 900000 500, 0.11, 9267.268, 5,  8.51%, 635.1804
[[02:22:24.606]] [LOG]    RBC 900000 500, 0.07, 14103.725, 5,  9.56%, 1086.0951
[[02:24:58.731]] [LOG]    ETH 900000 500, 0.03, 30808.738, 5,  16.96%, 4208.9003
[[02:25:46.028]] [LOG]    --- 900000 1000, 0.11, 9444.821, 5,  9.31%, 708.4664
[[02:26:56.371]] [LOG]    RBC 900000 1000, 0.07, 14054.362, 5,  6.59%, 745.7513
[[02:29:33.849]] [LOG]    ETH 900000 1000, 0.03, 31481.478, 5,  17.47%, 4431.3469
[[02:30:34.911]] [LOG]    --- 1000000 100, 0.08, 12198.602, 5,  9.03%, 887.7621
[[02:32:17.406]] [LOG]    RBC 1000000 100, 0.05, 20484.314, 5,  7.07%, 1167.2513
[[02:36:04.447]] [LOG]    ETH 1000000 100, 0.02, 45391.534, 5,  20.87%, 7631.1377
[[02:37:06.154]] [LOG]    --- 1000000 500, 0.08, 12326.959, 5,  8.13%, 807.4790
[[02:38:44.235]] [LOG]    RBC 1000000 500, 0.05, 19602.596, 5,  5.52%, 871.6935
[[02:42:44.009]] [LOG]    ETH 1000000 500, 0.02, 47940.579, 5,  21.98%, 8486.0758
[[02:43:47.983]] [LOG]    --- 1000000 1000, 0.08, 12780.094, 5,  7.81%, 803.8287
[[02:45:25.559]] [LOG]    RBC 1000000 1000, 0.05, 19500.410, 5,  5.54%, 870.1901
[[02:49:30.262]] [LOG]    ETH 1000000 1000, 0.02, 48926.245, 5,  21.20%, 8354.9167
[[02:50:51.270]] [LOG]    --- 1100000 100, 0.06, 16186.197, 5,  6.54%, 852.2880
[[02:53:26.791]] [LOG]    RBC 1100000 100, 0.03, 31089.393, 5,  7.22%, 1807.8912
[[02:59:28.237]] [LOG]    ETH 1100000 100, 0.01, 72274.016, 5,  22.61%, 13163.1705
[[03:02:03.559]] [LOG]    --- 1100000 500, 0.03, 31037.848, 5,  121.86%, 30466.9791
[[03:05:47.470]] [LOG]    RBC 1100000 500, 0.02, 44722.568, 5,  86.28%, 31079.9891
